region,n,mean.no.fruit,mean.daily.fruit,mean.no.veg,mean.daily.veg,mean.no.soda,mean.daily.soda,mean.no.fastfood,mean.daily.fastfood,mean.never.or.rarely.hungry,mean.always.or.mostly.hungry,mean.never.or.rarely.soap,mean.always.or.mostly.soap,mean.never.or.rarely.hand.wash.after.toilet,mean.always.or.mostly.hand.wash.after.toilet,mean.never.or.rarely.hand.wash.before.eating,mean.always.or.mostly.hand.wash.before.eating,mean.no.fruit.male,mean.daily.fruit.male,mean.no.veg.male,mean.daily.veg.male,mean.no.soda.male,mean.daily.soda.male,mean.no.fastfood.male,mean.daily.fastfood.male,mean.never.or.rarely.hungry.male,mean.always.or.mostly.hungry.male,mean.never.or.rarely.soap.male,mean.always.or.mostly.soap.male,mean.never.or.rarely.hand.wash.after.toilet.male,mean.always.or.mostly.hand.wash.after.toilet.male,mean.never.or.rarely.hand.wash.before.eating.male,mean.always.or.mostly.hand.wash.before.eating.male,mean.no.fruit.female,mean.daily.fruit.female,mean.no.veg.female,mean.daily.veg.female,mean.no.soda.female,mean.daily.soda.female,mean.no.fastfood.female,mean.daily.fastfood.female,mean.never.or.rarely.hungry.female,mean.always.or.mostly.hungry.female,mean.never.or.rarely.soap.female,mean.always.or.mostly.soap.female,mean.never.or.rarely.hand.wash.after.toilet.female,mean.always.or.mostly.hand.wash.after.toilet.female,mean.never.or.rarely.hand.wash.before.eating.female,mean.always.or.mostly.hand.wash.before.eating.female
Asia,28,0.0589345491189206,0.6991755263039678,0.01949043192942467,0.8816179837401117,0.2637320071802376,0.3990492529919451,0.6067122292550254,0.019417005841894524,0.7895467799896911,0.04485194022249648,0.0962629447906913,0.7412068894877214,0.03425875692996506,0.9129689158423709,0.04602465695043913,0.8631681495953931,0.04776566868440325,0.7328007288991156,0.017576934194028736,0.8904252246105279,0.2460961234757453,0.42967369493395785,0.6307706528186422,0.011720769457926694,0.79585831734409,0.041880722472108785,0.08115031283755282,0.7699453919953522,0.02717324825982024,0.9252495917813137,0.03740174456301764,0.8790837508998435,0.06725339396005686,0.6717717858313929,0.020418936701020504,0.8757870207987608,0.27233067547951245,0.3821247830372326,0.591783886462268,0.024170934645614726,0.7853388842416303,0.04751553447607451,0.10739782036552423,0.7190479594953446,0.039708505464632685,0.9029521923541556,0.052471606501804734,0.8505193971999379
LAC,26,0.09980133810449747,0.6690657697835053,0.08881814457706005,0.7171509449410174,0.11804784328528826,0.5928967836658444,0.4783511256632179,0.01544242593327011,0.8551498566399942,0.035267744930877254,0.09867126400425084,0.7582256899308807,0.053274092291805436,0.8730262671062677,0.07867294035640962,0.785841427968361,0.09898706859553716,0.6818093906917405,0.08635699048278882,0.7343563753065266,0.134629779725877,0.5895763443242212,0.4870766316345513,0.01583997327054116,0.8653264224579114,0.028133111442610704,0.09177855739474962,0.7747802273645478,0.04588988864656857,0.887427018077226,0.07517640317954187,0.7898122571606399,0.09991824027477966,0.6550178393253346,0.09105231944522131,0.6977104117077741,0.10267937011599669,0.5947766641494725,0.47065425743901207,0.014743380744964464,0.8470375012663937,0.04156349873923695,0.10467242275280822,0.7415204371725135,0.05960932049131567,0.8593029925249013,0.08238330684761232,0.7813124115226147
Africa,23,0.11389828549274533,0.6955051074866108,0.07528938989154565,0.783146491622514,0.23706420785454588,0.5200751263779936,0.505251806972268,0.03934155986521321,0.6618546483470948,0.10686120428260153,0.1409034754955911,0.6502316346450897,0.09963974261482032,0.7978600437713331,0.07617998524379123,0.8263931946834165,0.1004894433361714,0.7213124985297242,0.06751893115616357,0.7894452775617691,0.2316701585628896,0.5452244417026708,0.5290557106166095,0.030950630401584005,0.6705209492065449,0.10270511222030133,0.13082549474654534,0.6747187078481854,0.08934985517118449,0.81313563541991,0.07394996114686088,0.8300578887100601,0.1265685711323569,0.671984364603157,0.0805723213124414,0.7795161698807385,0.2395317558437752,0.49784035892552636,0.478978066099989,0.047227673413345744,0.6539041296873729,0.109794603559767,0.14712444250420517,0.6305247013600367,0.10609491216350063,0.7876450020551058,0.07752986884627334,0.8248177089229553
Oceania,6,0.07878342714127642,0.7076985635915151,0.053816599138846934,0.7969147345732477,0.26325576825946634,0.44404867966841227,0.34550855759501015,0.07206299469677627,0.38250541046113945,0.13176616934211036,0.14405824116668905,0.43159204076913044,0.105648086552658,0.6580414341179455,0.09935292048341103,0.5369093694383298,0.06977383100142434,0.7221560725496512,0.0503424882979671,0.8152143800991704,0.25880930601257734,0.4436164900608036,0.3470473811680591,0.07229369365221092,0.39310866344001194,0.1302387326704083,0.12817789175357583,0.44651937448944945,0.08993379466216221,0.6788206628959881,0.08132050882085423,0.558543077674126,0.08603580096117677,0.6972940452758675,0.05490424379129659,0.7822757950230022,0.2703259708906704,0.43594989510024484,0.3491497189506506,0.07315503654552666,0.3703805371343466,0.1323397529601118,0.15922215383885904,0.4110034820347247,0.11682888562606512,0.6374795631191267,0.11225027341975459,0.5166907285417497
Europe,1,0.033295199717643664,0.8373015612269628,0.0424007257955917,0.8041344134824946,NaN,NaN,NaN,NaN,0.9468936169630296,0.018801670609114633,0.03992755318267056,0.8818192461341688,0.02162111616282971,0.9458501309242413,0.02183132073358668,0.9359731159702065,0.031692257705404,0.8275136010425377,0.034138231700351296,0.8184185075256771,NaN,NaN,NaN,NaN,0.9534839813898965,0.007533764937101256,0.036500382517907555,0.8920228948150084,0.021952903303829062,0.9401076030094145,0.023491318143885706,0.9233795606895026,0.034353797693674755,0.8448581849561473,0.04744559460828116,0.7961774419904485,NaN,NaN,NaN,NaN,0.940763770436194,0.02839088766334909,0.043369129046576096,0.8723116480598418,0.020229168779050975,0.9531863512101887,0.02087578471922912,0.9492827710408794
